timestamp_pc,ticks (ms),setpoint (°C),temperature_measured (°C),out_pid (%),on_time (s),SensorStrip_trig,ADC_A1_raw,ADC_A1_V
2026-06-05 14:40:55,148233,60,31.24,100.0,1.50,0,42,0.034
2026-06-05 14:40:57,149733,60,31.68,100.0,1.50,0,60,0.048
2026-06-05 14:40:58,151233,60,31.44,100.0,1.50,0,50,0.040
2026-06-05 14:41:00,152733,60,31.19,100.0,1.50,0,19,0.015
2026-06-05 14:41:01,154233,60,31.31,100.0,1.50,0,0,0.000
2026-06-05 14:41:03,155733,60,31.84,100.0,1.50,0,0,0.000
2026-06-05 14:41:04,157233,60,31.70,100.0,1.50,0,58,0.047
2026-06-05 14:41:06,158733,60,31.93,100.0,1.50,0,11,0.009
2026-06-05 14:41:07,160233,60,31.56,100.0,1.50,0,63,0.051
2026-06-05 14:41:09,161733,60,31.26,100.0,1.50,0,13,0.010
2026-06-05 14:41:10,163233,60,31.91,100.0,1.50,0,0,0.000
2026-06-05 14:41:12,164733,60,31.91,100.0,1.50,0,0,0.000
2026-06-05 14:41:13,166233,60,31.38,100.0,1.50,0,0,0.000
2026-06-05 14:41:15,167733,60,31.49,100.0,1.50,0,46,0.037
2026-06-05 14:41:16,169233,60,31.38,100.0,1.50,0,60,0.048
2026-06-05 14:41:18,170733,60,31.70,100.0,1.50,0,61,0.049
2026-06-05 14:41:19,172233,60,32.14,100.0,1.50,0,0,0.000
2026-06-05 14:41:21,173733,60,32.31,100.0,1.50,0,46,0.037
2026-06-05 14:41:22,175233,60,31.79,100.0,1.50,0,59,0.048
2026-06-05 14:41:24,176733,60,31.56,100.0,1.50,0,0,0.000
2026-06-05 14:41:25,178233,60,32.03,100.0,1.50,0,49,0.039
2026-06-05 14:41:27,179733,60,31.82,100.0,1.50,0,74,0.060
2026-06-05 14:41:28,181233,60,31.79,100.0,1.50,0,71,0.057
2026-06-05 14:41:30,182733,60,31.79,100.0,1.50,0,30,0.024
2026-06-05 14:41:31,184233,60,32.52,100.0,1.50,0,0,0.000
2026-06-05 14:41:33,185733,60,32.57,100.0,1.50,0,52,0.042
2026-06-05 14:41:34,187233,60,31.93,100.0,1.50,0,29,0.023
2026-06-05 14:41:36,188733,60,32.59,100.0,1.50,0,5,0.004
2026-06-05 14:41:37,190233,60,32.71,100.0,1.50,0,5,0.004
2026-06-05 14:41:39,191733,60,32.90,100.0,1.50,0,16,0.013
2026-06-05 14:41:40,193233,60,32.59,100.0,1.50,0,23,0.019
2026-06-05 14:41:42,194733,60,32.83,100.0,1.50,0,11,0.009
2026-06-05 14:41:43,196233,60,32.99,100.0,1.50,0,0,0.000
2026-06-05 14:41:45,197733,60,33.09,100.0,1.50,0,0,0.000
2026-06-05 14:41:46,199233,60,33.11,100.0,1.50,0,39,0.031
2026-06-05 14:41:48,200733,60,32.45,100.0,1.50,0,51,0.041
2026-06-05 14:41:49,202233,60,32.57,100.0,1.50,0,0,0.000
2026-06-05 14:41:51,203733,60,33.30,100.0,1.50,0,0,0.000
2026-06-05 14:41:52,205233,60,33.35,100.0,1.50,0,63,0.051
2026-06-05 14:41:54,206733,60,33.09,100.0,1.50,0,61,0.049
2026-06-05 14:41:55,208233,60,33.37,100.0,1.50,0,53,0.043
2026-06-05 14:41:57,209733,60,33.13,100.0,1.50,0,57,0.046
2026-06-05 14:41:58,211233,60,33.32,100.0,1.50,0,57,0.046
2026-06-05 14:42:00,212733,60,33.68,100.0,1.50,0,11,0.009
2026-06-05 14:42:01,214233,60,33.42,100.0,1.50,0,0,0.000
2026-06-05 14:42:03,215733,60,33.78,100.0,1.50,0,0,0.000
2026-06-05 14:42:04,217233,60,33.87,100.0,1.50,0,59,0.048
2026-06-05 14:42:06,218733,60,33.61,100.0,1.50,0,0,0.000
2026-06-05 14:42:07,220233,60,33.37,100.0,1.50,0,54,0.043
2026-06-05 14:42:09,221733,60,33.56,100.0,1.50,0,36,0.029
2026-06-05 14:42:10,223233,60,33.63,100.0,1.50,0,48,0.039
2026-06-05 14:42:12,224733,60,33.68,100.0,1.50,0,10,0.008
2026-06-05 14:42:13,226233,60,34.38,100.0,1.50,0,13,0.010
2026-06-05 14:42:15,227733,60,33.83,100.0,1.50,0,55,0.044
2026-06-05 14:42:16,229233,60,34.28,100.0,1.50,0,15,0.012
2026-06-05 14:42:18,230733,60,34.09,100.0,1.50,0,54,0.043
2026-06-05 14:42:19,232233,60,34.62,100.0,1.50,0,8,0.006
2026-06-05 14:42:21,233733,60,34.72,100.0,1.50,0,36,0.029
2026-06-05 14:42:22,235233,60,34.86,100.0,1.50,0,0,0.000
2026-06-05 14:42:24,236733,60,34.79,100.0,1.50,0,54,0.043
2026-06-05 14:42:25,238233,60,34.40,100.0,1.50,0,41,0.033
2026-06-05 14:42:27,239733,60,35.08,100.0,1.50,0,36,0.029
2026-06-05 14:42:28,241233,60,35.16,100.0,1.50,0,50,0.040
2026-06-05 14:42:30,242733,60,34.67,100.0,1.50,0,3,0.002
2026-06-05 14:42:31,244233,60,34.64,100.0,1.50,0,62,0.050
2026-06-05 14:42:33,245733,60,35.01,100.0,1.50,0,0,0.000
2026-06-05 14:42:34,247233,60,35.01,100.0,1.50,0,58,0.047
2026-06-05 14:42:36,248733,60,35.75,100.0,1.50,0,14,0.011
2026-06-05 14:42:37,250233,60,35.06,100.0,1.50,0,78,0.063
2026-06-05 14:42:39,251733,60,35.40,100.0,1.50,0,0,0.000
2026-06-05 14:42:40,253233,60,35.16,100.0,1.50,0,0,0.000
2026-06-05 14:42:42,254733,60,35.94,100.0,1.50,0,7,0.006
2026-06-05 14:42:43,256233,60,36.02,100.0,1.50,0,21,0.017
2026-06-05 14:42:45,257733,60,36.29,100.0,1.50,0,17,0.014
2026-06-05 14:42:46,259233,60,35.52,100.0,1.50,0,52,0.042
2026-06-05 14:42:48,260733,60,35.99,100.0,1.50,0,4,0.003
2026-06-05 14:42:49,262233,60,35.82,100.0,1.50,0,51,0.041
2026-06-05 14:42:51,263733,60,36.02,100.0,1.50,0,79,0.064
2026-06-05 14:42:52,265233,60,36.17,100.0,1.50,0,22,0.018
2026-06-05 14:42:54,266733,60,36.77,100.0,1.50,0,0,0.000
2026-06-05 14:42:55,268233,60,36.82,100.0,1.50,0,46,0.037
2026-06-05 14:42:57,269733,60,36.47,100.0,1.50,0,81,0.065
2026-06-05 14:42:58,271233,60,36.19,100.0,1.50,0,13,0.010
2026-06-05 14:43:00,272733,60,37.07,100.0,1.50,0,63,0.051
2026-06-05 14:43:01,274233,60,36.39,100.0,1.50,0,51,0.041
2026-06-05 14:43:03,275733,60,36.69,100.0,1.50,0,75,0.060
2026-06-05 14:43:04,277233,60,37.27,100.0,1.50,0,78,0.063
2026-06-05 14:43:06,278733,60,36.94,100.0,1.50,0,28,0.023
2026-06-05 14:43:07,280233,60,37.22,100.0,1.50,0,4,0.003
2026-06-05 14:43:09,281733,60,37.09,100.0,1.50,0,86,0.069
2026-06-05 14:43:10,283233,60,37.75,100.0,1.50,0,60,0.048
2026-06-05 14:43:12,284733,60,37.73,100.0,1.50,0,61,0.049
2026-06-05 14:43:13,286233,60,37.91,100.0,1.50,0,41,0.033
2026-06-05 14:43:15,287733,60,37.52,100.0,1.50,0,6,0.005
2026-06-05 14:43:16,289233,60,38.24,100.0,1.50,0,19,0.015
2026-06-05 14:43:18,290733,60,37.91,100.0,1.50,0,95,0.076
2026-06-05 14:43:19,292233,60,38.01,100.0,1.50,0,85,0.068
2026-06-05 14:43:21,293733,60,38.50,100.0,1.50,0,19,0.015
2026-06-05 14:43:22,295233,60,38.19,100.0,1.50,0,16,0.013
2026-06-05 14:43:24,296733,60,38.16,100.0,1.50,0,30,0.024
2026-06-05 14:43:25,298233,60,38.78,100.0,1.50,0,57,0.046
2026-06-05 14:43:27,299733,60,38.11,100.0,1.50,0,84,0.068
2026-06-05 14:43:28,301233,60,38.86,100.0,1.50,0,19,0.015
2026-06-05 14:43:30,302733,60,38.47,100.0,1.50,0,0,0.000
2026-06-05 14:43:31,304233,60,38.42,100.0,1.50,0,27,0.022
2026-06-05 14:43:33,305733,60,38.71,100.0,1.50,0,41,0.033
2026-06-05 14:43:34,307233,60,38.71,100.0,1.50,0,38,0.031
2026-06-05 14:43:36,308733,60,39.02,100.0,1.50,0,87,0.070
2026-06-05 14:43:37,310233,60,39.62,100.0,1.50,0,48,0.039
2026-06-05 14:43:39,311733,60,39.52,100.0,1.50,0,17,0.014
2026-06-05 14:43:40,313233,60,39.07,100.0,1.50,0,46,0.037
2026-06-05 14:43:42,314733,60,39.75,100.0,1.50,0,92,0.074
2026-06-05 14:43:43,316233,60,39.44,100.0,1.50,0,103,0.083
2026-06-05 14:43:45,317733,60,39.70,100.0,1.50,0,23,0.019
2026-06-05 14:43:46,319233,60,39.73,100.0,1.50,0,90,0.072
2026-06-05 14:43:48,320733,60,39.86,100.0,1.50,0,29,0.023
2026-06-05 14:43:49,322233,60,40.18,100.0,1.50,0,77,0.062
2026-06-05 14:43:51,323733,60,39.89,100.0,1.50,0,20,0.016
2026-06-05 14:43:52,325233,60,40.85,100.0,1.50,0,21,0.017
2026-06-05 14:43:54,326733,60,40.47,100.0,1.50,0,93,0.075
2026-06-05 14:43:55,328233,60,40.23,100.0,1.50,0,129,0.104
2026-06-05 14:43:57,329733,60,41.37,100.0,1.50,0,24,0.019
2026-06-05 14:43:58,331233,60,40.45,100.0,1.50,0,122,0.098
2026-06-05 14:44:00,332733,60,41.18,100.0,1.50,0,100,0.081
2026-06-05 14:44:01,334233,60,41.45,100.0,1.50,0,48,0.039
2026-06-05 14:44:03,335733,60,41.81,100.0,1.50,0,96,0.077
2026-06-05 14:44:04,337233,60,41.78,100.0,1.50,0,43,0.035
2026-06-05 14:44:06,338733,60,41.94,100.0,1.50,0,44,0.035
2026-06-05 14:44:07,340233,60,41.23,100.0,1.50,0,106,0.085
